external_id,symbol,side,status,opened_at,closed_at,entry_price,exit_price,quantity,stop_loss,take_profit,initial_risk_amount,gross_pnl,fees,net_pnl,notes
T-0015,EURUSD,SELL,CLOSED,2025-05-22 08:00,2025-05-22 12:00,1.08547,1.08584,0.6,1.08827,1.07707,168.0,-21.84,3.08,-24.92,Scratched the trade when the setup invalidated early.
T-0016,EURUSD,SELL,CLOSED,2025-05-23 08:15,2025-05-25 06:15,1.085,1.08104,0.5,1.0868,1.08104,90.0,198.0,2.9,195.1,
T-0017,EURUSD,BUY,CLOSED,2025-05-26 08:00,2025-05-27 14:00,1.08974,1.08774,0.4,1.08774,1.09414,,-80.0,1.61,-81.61,
T-0018,EURUSD,SELL,CLOSED,2025-05-27 08:45,2025-05-27 10:45,1.08153,1.08453,0.4,1.08453,1.07613,,-120.0,2.37,-122.37,
T-0019,EURUSD,BUY,CLOSED,2025-05-28 08:45,2025-05-28 17:45,1.08098,1.07948,1.2,1.07948,1.08368,,-180.0,4.4,-184.4,"Ranging chop, should have skipped this session."
T-0020,EURUSD,SELL,CLOSED,2025-05-28 11:00,2025-05-29 07:00,1.08459,1.08709,0.5,,1.08009,125.0,-125.0,2.14,-127.14,Stopped out on a news spike; risk was fine.
T-0021,EURUSD,BUY,CLOSED,2025-05-29 08:00,2025-05-29 12:00,1.08227,1.08627,0.8,1.08027,1.08627,160.0,320.0,3.5,316.5,
T-0022,GBPUSD,SELL,CLOSED,2025-05-30 08:45,2025-05-30 14:45,1.26556,1.26676,1.0,1.26676,1.26256,120.0,-120.0,5.16,-125.16,"Chased the entry, stop was too tight for the volatility."
T-0023,EURUSD,BUY,CLOSED,2025-06-02 08:30,2025-06-02 10:30,1.08669,1.09071,1.0,1.08469,1.09269,200.0,402.0,4.13,397.87,"News-driven momentum, respected the plan and let it run."
T-0024,EURUSD,BUY,CLOSED,2025-06-03 08:00,2025-06-03 10:00,1.08689,1.08469,0.4,1.08469,1.09349,88.0,-88.0,2.11,-90.11,"Counter-trend attempt, deserved to lose this one."
T-0025,EURUSD,BUY,CLOSED,2025-06-04 08:15,2025-06-05 12:15,1.08584,1.08464,0.5,1.08464,1.088,60.0,-60.0,2.58,-62.58,
T-0026,AUDUSD,BUY,CLOSED,2025-06-05 08:15,2025-06-06 14:15,0.65842,0.66112,0.6,0.65662,0.66112,108.0,162.0,3.49,158.51,
T-0027,EURUSD,BUY,CLOSED,2025-06-06 08:30,2025-06-08 06:30,1.08201,1.08465,1.2,1.08081,1.08465,,316.8,6.65,310.15,"A+ setup at HTF demand, scaled out at target."
T-0028,EURUSD,BUY,CLOSED,2025-06-09 08:45,2025-06-10 12:45,1.08553,1.09073,0.5,1.08333,1.09213,,,2.8,,
T-0029,EURUSD,SELL,CLOSED,2025-06-10 08:15,2025-06-10 12:15,1.08149,1.08354,0.5,1.08429,1.07309,,-102.2,2.98,-105.18,"Ranging chop, should have skipped this session."
T-0030,EURUSD,BUY,CLOSED,2025-06-11 08:45,2025-06-12 04:45,1.08372,1.08621,1.0,1.08222,1.08672,150.0,249.0,3.81,245.19,"Held through minor pullback, target hit overnight."
T-0031,EURUSD,BUY,CLOSED,2025-06-12 08:30,2025-06-12 10:30,1.0846,1.08119,1.0,1.0818,1.093,280.0,-341.6,4.25,-345.85,"Counter-trend attempt, deserved to lose this one."
T-0032,EURUSD,SELL,CLOSED,2025-06-13 08:30,2025-06-14 12:30,1.08648,1.08948,1.2,1.08948,1.07748,360.0,-360.0,4.45,-364.45,"Counter-trend attempt, deserved to lose this one."
T-0033,GBPUSD,BUY,CLOSED,2025-06-13 11:15,2025-06-13 20:15,1.26422,1.26248,0.6,1.26222,1.26922,120.0,-104.4,2.72,-107.12,
T-0034,EURUSD,BUY,CLOSED,2025-06-16 08:15,2025-06-18 06:15,1.08876,1.09206,1.2,1.08726,1.09206,180.0,396.0,6.61,389.39,"A+ setup at HTF demand, scaled out at target."
T-0035,EURUSD,SELL,CLOSED,2025-06-17 08:45,2025-06-18 14:45,1.08824,1.09074,1.2,1.09074,1.08274,300.0,-300.0,6.36,-306.36,
T-0036,EURUSD,BUY,CLOSED,2025-06-18 08:45,2025-06-19 04:45,1.0843,1.08729,1.2,1.0821,1.0898,264.0,359.04,5.52,353.52,Trend continuation after pullback to 20 EMA.
T-0037,EURUSD,BUY,CLOSED,2025-06-19 08:00,2025-06-21 06:00,1.08262,1.08586,1.0,1.08082,1.08586,180.0,324.0,4.52,319.48,"A+ setup at HTF demand, scaled out at target."
T-0038,AUDUSD,BUY,CLOSED,2025-06-19 11:45,2025-06-20 17:45,0.65598,0.65232,0.6,0.65318,0.66018,168.0,-220.08,2.68,-222.76,"Ranging chop, should have skipped this session."
T-0039,EURUSD,SELL,CLOSED,2025-06-20 08:45,2025-06-22 06:45,1.08433,1.07926,0.5,1.08713,1.07593,140.0,253.4,1.96,251.44,
T-0040,AUDUSD,BUY,CLOSED,2025-06-23 08:00,2025-06-24 12:00,0.65292,0.65908,0.4,0.65012,0.65908,112.0,246.4,1.66,244.74,Trend continuation after pullback to 20 EMA.
T-0041,GBPUSD,SELL,OPEN,2025-07-07 13:00,,1.26576,,0.5,1.26776,1.26176,100.0,,,,"Swing long, watching daily close."
T-0042,EURUSD,BUY,OPEN,2025-07-08 13:00,,1.0865,,0.4,1.0845,1.0925,80.0,,,,"Runner from breakout, trailing stop."
T-0043,GBPUSD,BUY,OPEN,2025-07-09 13:00,,1.26576,,0.4,1.26426,1.26876,60.0,,,,
T-0044,EURUSD,BUY,OPEN,2025-07-10 13:00,,1.08492,,0.8,1.08342,1.08792,120.0,,,,"Swing long, watching daily close."
